,words,collocate_count,total_count,MI
324,even,2,117,12.373254254672492
325,can,4,262,12.53631253662654
326,shall,1,100,13.146745724863813
327,be,9,667,12.71450748483136
328,loved,1,26,11.20332925323018
329,shropshire,1,12,10.087852035810243
330,am,2,147,12.702561879925454
331,garden,1,48,12.087852035810243
332,strengthen,1,2,7.502889535089087
333,yours,2,14,9.310244457146691
334,beloved,1,2,7.502889535089087
335,falling,1,8,9.502889535089087
336,hate,1,12,10.087852035810243
337,an,4,240,12.409780130697607
338,somehow,1,14,10.310244457146691
339,struggle,1,5,8.82481762997645
340,sure,1,33,11.547283654447543
341,fall,3,11,8.37735865300523
342,members,1,6,9.087852035810243
343,companion,1,5,8.82481762997645
344,awaits,1,1,6.502889535089088
345,had,9,1161,13.514116790512343
346,concern,1,17,10.590352376339426
347,use,1,25,11.146745724863813
348,muddles,1,1,6.502889535089088
349,slips,1,2,7.502889535089087
350,songs,1,6,9.087852035810243
351,mutual,1,4,8.502889535089087
352,do,10,405,11.842739537973713
353,supreme,1,11,9.962321153726386
354,have,4,624,13.788291753951338
355,is,11,841,12.759419906706936
356,surety,1,1,6.502889535089088
357,gone,1,62,12.457085845475964
358,saw,1,76,12.750817048532673
359,are,5,368,12.70452339625874
360,may,2,149,12.72205805555125
361,any,3,103,11.60442756155115
362,burst,1,11,9.962321153726386
363,prelude,1,2,7.502889535089087
364,ascetics,1,1,6.502889535089088
365,well,1,174,13.945833030937816
366,palm,1,2,7.502889535089087
367,folklore,1,2,7.502889535089087
368,i,42,2073,12.128076513419742
369,let,1,100,13.146745724863813
370,to,29,2714,13.051113545380371
371,because,3,90,11.409780130697607
372,central,2,6,8.087852035810243
373,make,1,78,12.788291753951338
374,miss,2,164,12.860441539707173
375,pretend,1,15,10.409780130697607
376,aren,2,19,9.750817048532674
377,lips,1,12,10.087852035810243
378,radiance,2,5,7.824817629976451
379,partings,1,1,6.502889535089088
380,only,1,216,14.257777037252556
381,should,5,137,11.278993523162253
382,very,1,206,14.189390062272306
383,reality,1,4,8.502889535089087
384,juley,4,57,10.33577954925383
385,made,2,78,11.788291753951336
386,could,1,299,14.726891209287194
387,yellow,1,4,8.502889535089087
388,alights,1,1,6.502889535089088
389,l,1,4,8.502889535089087
390,yawned,1,2,7.502889535089087
391,pity,1,14,10.310244457146691
392,unsubstantial,1,1,6.502889535089088
393,these,2,90,11.994742631418761
394,much,2,139,12.621830607812594
395,purpose,1,4,8.502889535089087
396,sudden,1,9,9.672814536531401
397,seems,1,20,10.824817629976451
398,ever,2,77,11.76967607578399
399,wilcox,1,354,14.970495085172086
400,servants,1,21,10.895206957867849
401,helen,2,523,14.533556671336031
402,nature,2,32,10.502889535089087
403,paul,1,79,12.806670283266191
404,him,7,497,12.65263665459377
405,both,1,40,11.824817629976451
406,fear,1,5,8.82481762997645
407,commissions,1,2,7.502889535089087
408,not,14,880,12.476894326556145
409,with,13,723,12.300301653899112
410,a,22,2196,13.144120255456988
411,curious,1,15,10.409780130697607
412,inmates,1,2,7.502889535089087
413,modified,3,1,4.917927034367932
414,breakfast,2,33,10.547283654447542
415,kissed,1,12,10.087852035810243
416,the,50,5334,13.240035454865291
417,desiring,1,3,8.087852035810243
418,considered,1,7,9.310244457146691
419,such,2,113,12.323068497504275
420,sympathy,1,11,9.962321153726386
421,later,1,27,11.257777037252557
422,scenes,1,3,8.087852035810243
423,dreamy,1,3,8.087852035810243
424,one,6,463,12.772795417628169
425,else,1,28,11.310244457146691
426,know,1,223,14.303789435009392
427,leonard,1,118,13.38553258445093
428,t,13,771,12.393036866863032
429,rich,1,29,11.36087053021666
430,has,2,207,13.196376492588413
431,life,1,191,14.080318363124837
432,old,1,81,12.842739537973713
433,hammers,1,1,6.502889535089088
434,no,5,535,13.244356521490236
435,more,4,275,12.606177343501109
436,his,3,681,14.329438022380003
437,meadow,1,17,10.590352376339426
438,jacky,1,48,12.087852035810243
